source,execute_date,qqq_score,tlt_score,combo,target,changed
QQQ:yahoo/TLT:yahoo,2025-01-02,4.06954136%,-6.59999252%,+-,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-02-03,7.21825128%,-2.57460652%,+-,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-03-03,1.38980470%,0.84002672%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-04-01,-6.49516239%,-0.34823002%,--,CASH,YES
QQQ:yahoo/TLT:yahoo,2025-05-01,-2.90243050%,0.00839986%,-+,TLT,YES
QQQ:yahoo/TLT:yahoo,2025-06-02,4.54597849%,-5.04708417%,+-,QLD,YES
QQQ:yahoo/TLT:yahoo,2025-07-01,10.77404382%,1.28313803%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-08-01,9.98881692%,-0.70295050%,+-,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-09-02,7.83243384%,-0.92817999%,+-,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-10-01,14.19251118%,2.11142785%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-11-03,16.32526637%,3.22262181%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2025-12-01,8.89738179%,4.16352028%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2026-01-02,4.41924338%,-1.15447885%,+-,QLD,NO
QQQ:yahoo/TLT:yahoo,2026-02-02,3.55899797%,0.49785016%,++,QLD,NO
QQQ:yahoo/TLT:yahoo,2026-03-02,0.85952538%,4.41704833%,++,TLT,YES
QQQ:yahoo/TLT:yahoo,2026-04-01,-4.83612811%,-1.47388882%,--,CASH,YES
QQQ:yahoo/TLT:yahoo,2026-05-01,9.92181063%,-1.67671621%,+-,QLD,YES
